"Message",Low,"Starting .NET Native compilation"
"Message",Low,""
"Message",Low,""
"Message",Low,"Task ""Gatekeeper"""
"Message",Normal,"Launching 'C:\Program Files (x86)\Microsoft SDKs\NuGetPackagesFallback\microsoft.net.native.compiler\1.7.2\tools\x86\ilc\Tools\Gatekeeper.exe @""C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.7.25916.00 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\Ensure.That.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\Microsoft.Azure.Mobile.Client.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\Microsoft.Azure.Mobile.Client.SQLiteStore.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\Microsoft.Threading.Tasks.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\Microsoft.Threading.Tasks.Extensions.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\mobileApps2017.exe'. "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\MyCouch.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\Newtonsoft.Json.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\SQLitePCLRaw.batteries_green.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\SQLitePCLRaw.batteries_v2.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\SQLitePCLRaw.core.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\in\SQLitePCLRaw.provider.e_sqlite3.dll'. "
"Message",Normal,"'C:\Program Files (x86)\Microsoft SDKs\NuGetPackagesFallback\microsoft.net.native.compiler\1.7.2\tools\x86\ilc\Tools\Gatekeeper.exe @""C:\Users\Dara\source\repos\mobileApps2017\mobileApps2017\obj\x86\Release\ilc\intermediate\gkargs.rsp""' completed."
"Message",Normal,"Process execution statistics (all times in milliseconds)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"launch  |  start   |   stop   |   end    | duration | lifetime | [slot] name"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"       0 |       16 |      922 |      922 |      906 |      922 | [0] Gatekeeper"
"Message",Normal,"Number of commands:      1"
"Message",Normal,"Total system time:       922 ms"
"Message",Normal,"System time per command: 922 ms"
"Message",Normal,"Total duration:          906 ms"
"Message",Normal,"Total lifetime:          922 ms"
"Message",Normal,"Requested DOP:           4"
"Message",Normal,"Duration DOP:            1.0"
"Message",Normal,"Lifetime DOP:            1.0"
"Message",Low,"Done executing task ""Gatekeeper""."
"Message",Low,"Done building target ""RunGatekeeper"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""InjectWindowsRuntimeTypeForwards"""
"Message",Normal,"Running 'InjectWindowsRuntimeTypeForwards' transform, heap at 12 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 16 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"   971 |          4 | InjectWindowsRuntimeTypeForwards"
"Message",Normal,"   459 |          2 | WriteAssemblies"
"Message",Low,"Done executing task ""InjectWindowsRuntimeTypeForwards""."
"Message",Low,"Done building target ""InjectWindowRuntimeTypeForwards"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""PreResolveAssemblyClosure"""
"Warning",,0,0,"ILTransform : warning ILT0010: Could not find assembly 'System.Reflection.Emit.ILGeneration, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' referenced by 'MyCouch'."
"Warning",,0,0,"ILTransform : warning ILT0010: Could not find assembly 'System.Reflection.Emit.Lightweight, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' referenced by 'MyCouch'."
"Message",Low,"Done executing task ""PreResolveAssemblyClosure""."
"Message",Low,"Task ""PreResolveTransforms"""
"Message",Normal,"Running 'ResolveSelfReferences' transform, heap at 22 MB."
"Message",Normal,"Running 'RemoveDuplicateMembers' transform, heap at 69 MB."
"Message",Normal,"Running 'PortableLib' transform, heap at 69 MB."
"Warning",,0,0,"ILTransform : warning ILT0017: Assembly 'Microsoft.Threading.Tasks.Extensions' requests the address of the virtual method 'Stream.BeginRead(byte[], int, int, AsyncCallback, object)' which is not available in the targeted .NET platform. Please ask the author of 'Microsoft.Threading.Tasks.Extensions' to provide an implementation that can be used in the currently targeted .NET platform."
"Warning",,0,0,"ILTransform : warning ILT0017: Assembly 'Microsoft.Threading.Tasks.Extensions' requests the address of the virtual method 'Stream.EndRead(IAsyncResult)' which is not available in the targeted .NET platform. Please ask the author of 'Microsoft.Threading.Tasks.Extensions' to provide an implementation that can be used in the currently targeted .NET platform."
"Warning",,0,0,"ILTransform : warning ILT0017: Assembly 'Microsoft.Threading.Tasks.Extensions' requests the address of the virtual method 'Stream.BeginWrite(byte[], int, int, AsyncCallback, object)' which is not available in the targeted .NET platform. Please ask the author of 'Microsoft.Threading.Tasks.Extensions' to provide an implementation that can be used in the currently targeted .NET platform."
"Warning",,0,0,"ILTransform : warning ILT0017: Assembly 'Microsoft.Threading.Tasks.Extensions' requests the address of the virtual method 'Stream.EndWrite(IAsyncResult)' which is not available in the targeted .NET platform. Please ask the author of 'Microsoft.Threading.Tasks.Extensions' to provide an implementation that can be used in the currently targeted .NET platform."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 114 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"   799 |         47 | ResolveSelfReferences"
"Message",Normal,"   432 |         45 | PortableLib"
"Message",Normal,"   199 |          9 | WriteAssemblies"
"Message",Normal,"     0 |          0 | RemoveDuplicateMembers"
"Message",Low,"Done executing task ""PreResolveTransforms""."
"Message",Low,"Done building target ""PreResolveTransforms"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""InitialAssemblyClosure"""
"Message",Low,"Done executing task ""InitialAssemblyClosure""."
"Message",Low,"Task ""ResolveInitialReferencesAssemblyClosure1"""
"Warning",,0,0,"ILTransform : warning ILT0010: Could not find assembly 'System.Reflection.Emit.ILGeneration, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' referenced by 'MyCouch'."
"Warning",,0,0,"ILTransform : warning ILT0010: Could not find assembly 'System.Reflection.Emit.Lightweight, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' referenced by 'MyCouch'."
"Message",Low,"Done executing task ""ResolveInitialReferencesAssemblyClosure1""."
"Message",Low,"Task ""ResolveInitialReferencesAssemblyClosure2"""
"Warning",,0,0,"ILTransform : warning ILT0010: Could not find assembly 'System.Reflection.Emit.ILGeneration, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' referenced by 'MyCouch'."
"Warning",,0,0,"ILTransform : warning ILT0010: Could not find assembly 'System.Reflection.Emit.Lightweight, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' referenced by 'MyCouch'."
"Message",Low,"Done executing task ""ResolveInitialReferencesAssemblyClosure2""."
"Message",Low,"Done building target ""ResolveInitialReferences"" in file ""Preparation""."
"Message",Low,"Done building project ""Preparation""."
